ds;y;Região;Temperatura;Umidade;População 2024;e_feriado;dia_semana;dia_mes;semana_ano;mes;trimestre
2024-01-01;7277,322;Nordeste;27,4;71,8;57112096;True;0;1;1;1;1
2024-01-01;3318,403;Norte;26,6;83,1;18669345;True;0;1;1;1;1
2024-01-01;20294,203;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;True;0;1;1;1;1
2024-01-01;5919,036;Sul;22,7;78,2;31113021;True;0;1;1;1;1
2024-01-02;7969,688;Nordeste;27,4;71,8;57112096;False;1;2;1;1;1
2024-01-02;3706,312;Norte;26,6;83,1;18669345;False;1;2;1;1;1
2024-01-02;23466,222999999998;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;1;2;1;1;1
2024-01-02;7493,529;Sul;22,7;78,2;31113021;False;1;2;1;1;1
2024-01-03;8369,956;Nordeste;27,4;71,8;57112096;False;2;3;1;1;1
2024-01-03;3717,951;Norte;26,6;83,1;18669345;False;2;3;1;1;1
2024-01-03;25242,303;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;2;3;1;1;1
2024-01-03;7424,683000000001;Sul;22,7;78,2;31113021;False;2;3;1;1;1
2024-01-04;8544,682;Nordeste;27,4;71,8;57112096;False;3;4;1;1;1
2024-01-04;3837,9120000000003;Norte;26,6;83,1;18669345;False;3;4;1;1;1
2024-01-04;24641,789;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;3;4;1;1;1
2024-01-04;7581,766;Sul;22,7;78,2;31113021;False;3;4;1;1;1
2024-01-05;8608,191;Nordeste;27,4;71,8;57112096;False;4;5;1;1;1
2024-01-05;3747,174;Norte;26,6;83,1;18669345;False;4;5;1;1;1
2024-01-05;24461,282;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;4;5;1;1;1
2024-01-05;7732,536;Sul;22,7;78,2;31113021;False;4;5;1;1;1
2024-01-06;8129,466;Nordeste;27,4;71,8;57112096;False;5;6;1;1;1
2024-01-06;3534,056;Norte;26,6;83,1;18669345;False;5;6;1;1;1
2024-01-06;22807,213;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;5;6;1;1;1
2024-01-06;7437,2429999999995;Sul;22,7;78,2;31113021;False;5;6;1;1;1
2024-01-07;7623,85;Nordeste;27,4;71,8;57112096;False;6;7;1;1;1
2024-01-07;3407,879;Norte;26,6;83,1;18669345;False;6;7;1;1;1
2024-01-07;22669,309;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;6;7;1;1;1
2024-01-07;7797,264999999999;Sul;22,7;78,2;31113021;False;6;7;1;1;1
2024-01-08;8523,939;Nordeste;27,4;71,8;57112096;False;0;8;2;1;1
2024-01-08;3788,4530000000004;Norte;26,6;83,1;18669345;False;0;8;2;1;1
2024-01-08;27124,633;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;0;8;2;1;1
2024-01-08;9564,306;Sul;22,7;78,2;31113021;False;0;8;2;1;1
2024-01-09;8827,045;Nordeste;27,4;71,8;57112096;False;1;9;2;1;1
2024-01-09;3823,2110000000002;Norte;26,6;83,1;18669345;False;1;9;2;1;1
2024-01-09;28009,264;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;1;9;2;1;1
2024-01-09;9640,296;Sul;22,7;78,2;31113021;False;1;9;2;1;1
2024-01-10;8851,56;Nordeste;27,4;71,8;57112096;False;2;10;2;1;1
2024-01-10;3892,8179999999998;Norte;26,6;83,1;18669345;False;2;10;2;1;1
2024-01-10;28107,343999999997;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;2;10;2;1;1
2024-01-10;9462,721;Sul;22,7;78,2;31113021;False;2;10;2;1;1
2024-01-11;8640,291;Nordeste;27,4;71,8;57112096;False;3;11;2;1;1
2024-01-11;3839,7129999999997;Norte;26,6;83,1;18669345;False;3;11;2;1;1
2024-01-11;27833,724;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;3;11;2;1;1
2024-01-11;9785,686;Sul;22,7;78,2;31113021;False;3;11;2;1;1
2024-01-12;8445,174;Nordeste;27,4;71,8;57112096;False;4;12;2;1;1
2024-01-12;3638,186;Norte;26,6;83,1;18669345;False;4;12;2;1;1
2024-01-12;27269,085;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;4;12;2;1;1
